id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,nil_only,normalization,derivative,dataset
Repeat3,Fold2,rmse,standard,44.010617721646256,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rmse,standard,31.606126500707973,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rmse,standard,23.700269986058426,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rmse,standard,33.21143425635301,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rmse,standard,52.72168598037417,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rmse,standard,23.700269986058426,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rmse,standard,52.72168598037417,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rsq,standard,1,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rmse,standard,52.1216039865624,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rsq,standard,0.9999999999999996,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rmse,standard,56.177828874364366,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rsq,standard,1.0000000000000004,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rmse,standard,24.972215765164204,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rsq,standard,0.9999999999999998,Preprocessor1_Model1,LASSO 0.7 cor filter,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rmse,standard,15.375124209157732,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rsq,standard,0.9909348309576755,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rmse,standard,20.00117153907975,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rmse,standard,39.554693615177364,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rmse,standard,27.88112564011833,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rsq,standard,NA,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rmse,standard,24.97408127681723,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rsq,standard,NA,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rmse,standard,132.47324365011752,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rsq,standard,0.5437916574368535,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rmse,standard,22.31358775679636,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rmse,standard,24.429253179214076,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rmse,standard,12.753135587722682,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rmse,standard,28.165213533215258,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rmse,standard,30.162446974091786,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rsq,standard,0.530272254429117,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rmse,standard,21.226439778098484,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rmse,standard,109.37598053636549,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rsq,standard,NA,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rmse,standard,20.96060683246937,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rsq,standard,0.9999999999999998,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rmse,standard,1.4534825491599832,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rmse,standard,9.994557637668276,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rsq,standard,0.9210875381341315,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rmse,standard,18.110713201077257,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rsq,standard,0.9999999999999998,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rmse,standard,31.42607064276124,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rmse,standard,20.741241507873404,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rsq,standard,0.9999999999999996,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rmse,standard,1.4534825491599832,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rsq,standard,1.0000000000000004,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rmse,standard,129.09956980046502,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rsq,standard,0.9316479603090071,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
